Date,Julian
5.20,140
5.21,141
5.22,142
5.23,143
5.24,144
5.25,145
5.26,146
5.27,147
5.28,148
5.29,149
5.30,150
5.31,151
6.01,152
6.02,153
6.03,154
6.04,155
6.05,156
6.06,157
6.07,158
6.08,159
6.09,160
6.10,161
6.11,162
6.12,163
6.13,164
6.14,165
6.15,166
6.16,167
6.17,168
6.18,169
6.19,170
6.20,171
6.21,172
6.22,173
6.23,174
6.24,175
6.25,176
6.26,177
6.27,178
6.28,179
6.29,180
6.30,181
7.01,182
7.02,183
7.03,184
7.04,185
7.05,186
7.06,187
7.07,188
7.08,189
7.09,190
7.10,191
7.11,192
7.12,193
7.13,194
7.14,195
7.15,196
7.16,197
7.17,198
7.18,199
7.19,200
7.20,201
7.21,202
7.22,203
7.23,204
7.24,205
7.25,206
7.26,207
7.27,208
7.28,209
7.29,210
7.30,211
7.31,212
8.01,213
8.02,214
8.03,215
8.04,216
8.05,217
8.06,218
8.07,219
8.08,220
8.09,221
8.10,222
8.11,223
8.12,224
8.13,225
8.14,226
8.15,227
8.16,228
8.17,229
8.18,230
8.19,231
8.20,232
8.21,233
8.22,234
8.23,235
8.24,236
8.25,237
8.26,238
8.27,239
8.28,240
8.29,241
8.30,242
8.31,243
9.01,244